name,imo,date_designated,flag_at_designation,flag_after,new_name,days_to_hop,first_hop_date,registry_confirmed
OTLA,9299719,20/05/2025,Comoros,ZWE,OTLA,190,2025-11-26,False
BOLOGNIA FALCON,9255244,21/07/2025,Panama,CMR,WHITE CONDOR I,191,2026-01-28,False
MILEY,9314818,12/09/2025,,RUS,ALYSSUM,195,2026-03-26,False
Rung Ra 2,9020534,28/12/2017,North Korea,PRK,PAEK YANG SAN,196,2018-07-12,True
PIONEER,9256602,26/09/2024,Palau,BES,SPUTNIK ENERGY,196,2025-04-10,False
CORTEX,9291250,20/05/2025,Comoros,MOZ,CORTEX,196,2025-12-02,False
SAHARA,9322267,12/09/2025,,RUS,ASGARD,202,2026-04-02,False
NORTH SKY,9953523,26/09/2024,Panama,RUS,IRIS,203,2025-04-17,False
SAGAR VIOLET,9292981,17/12/2024,Palau,ABW,NOBLE WALKER,205,2025-07-10,False
SEA OWL I,9321172,15/10/2025,Comoros,CMR,SEA OWL I,205,2026-05-08,False
UNITY,9388792,24/02/2025,Russia,LSO,UNITY,207,2025-09-19,False
PONE,9306562,17/06/2025,Guinea-Bissau,CMR,RHEIN,211,2026-01-14,False
ACHILLES,9368223,24/02/2025,Panama,OMN,ACHILLES,213,2025-09-25,False
SERENADE,9318541,21/07/2025,Comoros,RUS,SERENADE,220,2026-02-26,False
ZALIV AMURSKIY,9354313,31/07/2024,Panama,COM,ZALIV AMURSKIY,221,2025-03-09,False
ONYX,9236640,21/07/2025,,RUS,AZALEA,223,2026-03-01,False
MANDALA,9299135,15/10/2025,Liberia,CMR,MANDALA,223,2026-05-26,False
FREYA,9238052,12/09/2025,,ZWE,FREYA,229,2026-04-29,False
LIBERTY,9339325,31/07/2024,Barbados,OMN,LEVEL,238,2025-03-26,False
BUDDHA,9283306,21/07/2025,Antigua and Barbuda,GNQ,FINA A,243,2026-03-21,False
LAUREN II,9258521,12/09/2025,,GUY,RAMONA I,250,2026-05-20,False
SPRING,9315446,21/07/2025,,GNQ,ENDLESS,254,2026-04-01,False
VIEW,9271327,21/07/2025,,GNQ,APPLE,254,2026-04-01,False
HUIHAI ATLANTIC,9312872,21/07/2025,,RUS,PROVIDER,258,2026-04-05,False
SEAL,9263186,09/05/2025,Guinea-Bissau,CMR,SOUTH STAR,261,2026-01-25,False
HENG TAI,9419448,21/07/2025,,RUS,FORWARDER,268,2026-04-15,False
TORX,9311610,15/10/2025,Panama,GNQ,TORX,274,2026-07-16,False
GRINCH,9288851,21/07/2025,Comoros,RUS,TRANSFORMER,276,2026-04-23,False
AVRIL,9322839,12/09/2025,,RUS,AVANGARD,276,2026-06-15,False
ELISE,9277747,09/05/2025,Palau,CMR,ELISE,278,2026-02-11,False
ZEVS,9168946,21/07/2025,Cameroon,GNQ,ZEVS,279,2026-04-26,False
OLAF 1,9224465,21/07/2025,Comoros,PAN,OLAF 1,281,2026-04-28,False
HS GLORY,9249087,12/09/2025,,RUS,AKVILON,283,2026-06-22,False
MARS 6,9384992,15/10/2025,Panama,RUS,SAPFIR,304,2026-08-15,False
ANATOLY KOLODKIN,9610808,25/11/2024,Russia,RUS,ANATOLY KOLODKIN,306,2025-09-27,False
JI HANG,9281009,15/10/2025,Panama,RUS,BIRYUZA,308,2026-08-19,False
KRUGER,9412995,21/07/2025,,RUS,ATLANT,324,2026-06-10,False
FELIKS,9459242,17/06/2025,Sierra Leone,SLE,FELIKS,339,2026-05-22,False
RANGLER,9206671,21/07/2025,Cameroon,GNQ,BRISK,347,2026-07-03,False
FRUNZE,9263643,21/07/2025,,ZWE,FRUNZE,356,2026-07-12,False
Fuga Bluemarine,9235725,09/05/2025,The Gambia,CMR,BLACK MARLIN,385,2026-05-29,False
MALAK,9378632,21/07/2025,Comoros,RUS,SINTEZ,395,2026-08-20,False
JAMES II,9253909,20/05/2025,Palau,SLE,RIKER,405,2026-06-29,False
VALOUR,9410894,25/11/2024,Guinea,RUS,AKSEL,413,2026-01-12,False
YI TONG,9259733,09/05/2025,Panama,SLE,CAVELA,415,2026-06-28,False
NARCISSUS,9232931,09/05/2025,,RUS,MONOLIT,429,2026-07-12,False
Shang Yuan Bao,8126070,30/03/2018,Panama,VCT,SHANG YUAN BAO,474,2019-07-17,True
HS EVERETT,9410870,25/11/2024,,RUS,AKHILL,491,2026-03-31,False
Paek Ma,9066978,30/03/2018,North Korea,,PAEK MA,547,2019-09-28,False
Tong San 2,8937675,03/10/2017,North Korea,BHS,TN,1529,2021-12-10,False
New Regent,8312497,30/03/2018,Panama,PRK,SONGWON2,1642,2022-09-27,False
Petrel 8,9562233,03/10/2017,Comoros,NIU,PETREL 8,1732,2022-07-01,False
Chon Ma San,8660313,30/03/2018,North Korea,PRK,CHON MA SAN,2859,2026-01-26,False
