name,imo,date_designated,flag_at_designation,flag_after,new_name,days_to_hop,first_hop_date,registry_confirmed
NIKOLAY ZADORNOV,9901037,24/02/2025,Panama,COM,NIKOLAY ZADORNOV,34,2025-03-30,False
AFKADA,9311531,09/05/2025,Gabon,MWI,REINEL,34,2025-06-12,False
IMO 9290385 ('ELBUS'),9290385,16/06/2026,,RUS,DERZHAVA,34,2026-07-20,False
SCF PECHORA,9333424,31/07/2024,Gabon,BRB,PHOENIX,35,2024-09-04,False
CHILLI,9249130,25/11/2024,Antigua and Barbuda,SLE,PEACE,35,2024-12-30,False
Beast,9290921,09/05/2025,Palau,TZA,BEAST,35,2025-06-13,False
WUDI,9335094,09/05/2025,Panama,PLW,VARG,35,2025-06-13,False
RAVEN,9205067,09/05/2025,Barbados,SLE,RAVEN,35,2025-06-13,False
ARABESCA,9288734,09/05/2025,Cook Islands,SLE,ARABESCA,35,2025-06-13,False
OSCAR I,9314820,15/10/2025,,SLE,OSAR,35,2025-11-19,False
INNOVATOR,9306809,24/02/2026,China,CMR,LAYLA,35,2026-03-31,False
NS COMMANDER,9306794,31/07/2024,Gabon,BRB,CONSTELLATION,36,2024-09-05,False
MINERVA M,9282479,17/12/2024,Panama,STP,OLINA,36,2025-01-22,False
IONIA,9310525,24/02/2025,Gabon,DJI,OILSTAR,36,2025-04-01,False
FU HAI WAN,9368235,24/02/2025,Panama,DJI,FU HAI WAN,36,2025-04-01,False
CORDELIA MOON,9297888,09/05/2025,Panama,PLW,WALRUS,36,2025-06-14,False
FIORA,9282493,09/05/2025,,GMB,ASTERI,36,2025-06-14,False
LION 1,9384069,15/10/2025,Panama,CMR,LION I,36,2025-11-20,False
IMO 9439383 ('BHILVA'),9439383,16/06/2026,,RUS,ONIKS,36,2026-07-22,False
TORONTO,8808525,20/05/2025,Liberia,PLW,BRONCO,37,2025-06-26,False
MINION,9389095,15/10/2025,Panama,RUS,TRIUMF,37,2025-11-21,False
FOTUO,9293959,09/05/2025,Liberia,BEN,FOTUO,38,2025-06-16,False
CANARA,9411331,21/07/2025,Comoros,GMB,CANARA,38,2025-08-28,False
FIRN,9224441,15/10/2025,Panama,CMR,GRUS I,38,2025-11-22,False
SPRIT,9248796,09/05/2025,Barbados,PLW,IRON WAVE,39,2025-06-17,False
TIBURON,9283291,09/05/2025,Barbados,SLE,TIBURON,39,2025-06-17,False
MONTE 1,9297553,17/06/2025,Panama,BEN,MONTE 1,39,2025-07-26,False
UNIVERSAL,9384306,21/07/2025,Comoros,RUS,UNIVERSAL,39,2025-08-29,False
KATY,9323326,24/02/2026,,RUS,MELISSA,39,2026-04-04,False
TASSOS,9408695,24/02/2026,,MDG,TASSOS,39,2026-04-04,False
THEMIS,9264570,09/05/2025,Panama,PLW,NAYARA,40,2025-06-18,False
VENETIANS,9436018,09/05/2025,Panama,PLW,OCEAN PEARL,40,2025-06-18,False
ARABELA,9253313,20/05/2025,Barbados,SLE,MATARI,40,2025-06-29,False
Cai Yun,9437983,09/05/2025,Panama,MWI,CAI YUN,41,2025-06-19,False
DELIVER,9194983,09/05/2025,,GMB,DELIVER,42,2025-06-20,False
TRUST,9382798,21/07/2025,Comoros,GMB,TRUST,42,2025-09-01,False
SEASONS I,9308950,15/10/2025,Panama,CMR,SEASONS I,42,2025-11-26,False
MAIN,9387255,20/05/2025,Barbados,PLW,AZURE,43,2025-07-02,False
SIKAR,9419137,21/07/2025,Comoros,GMB,SIKAR,43,2025-09-02,False
MAKALU,9314105,21/07/2025,Comoros,GMB,MAKALU,43,2025-09-02,True
FIORA,9255684,15/10/2025,,CMR,NANJING,43,2025-11-27,False
NAXOS,9336426,09/05/2025,,PLW,SELVA,44,2025-06-22,False
SAKARYA,9524463,21/07/2025,Comoros,GMB,SATARA,44,2025-09-03,False
STELLAR BEVERLY,9208069,21/07/2025,Panama,MOZ,STELLAR BEVERLY,44,2025-09-03,False
TALISMAN,9292060,21/07/2025,Comoros,GMB,TALISMAN,44,2025-09-03,False
WALL,9299886,21/07/2025,Panama,VUT,JASPER,44,2025-09-03,False
ARTEMIS,9317949,17/10/2024,Gabon,DJI,XIWANG,45,2024-12-01,False
THYA,9283289,09/05/2025,Panama,COM,DUSK,45,2025-06-23,False
INDUS 1,9360415,09/05/2025,Panama,PLW,INDUS 1,45,2025-06-23,False
XING CHEN,9550682,09/05/2025,Panama,PLW,XING CHEN,45,2025-06-23,False
AQUARIUS II,9346873,09/05/2025,Panama,PLW,ELODIE I,45,2025-06-23,False
CHENG HE,9304629,17/06/2025,Panama,STP,CHENG HE,45,2025-08-01,False
AQUATICA,9299769,21/07/2025,Comoros,GMB,AQUATICA,45,2025-09-04,False
SWIFTSEA RIDER,9318539,17/12/2024,Honduras,TZA,SWIFTSEA RIDER,46,2025-02-01,False
LANG YA,9332781,17/12/2024,Panama,DJI,AQUA TITAN,46,2025-02-01,False
Blue Talu,9334557,09/05/2025,Panama,COM,BLUE TALU,46,2025-06-24,False
EAST 1,9240885,09/05/2025,,PLW,LONGEVITY 7,46,2025-06-24,True
JUNIA,9293155,17/12/2024,Panama,GMB,JUNIA,47,2025-02-02,False
SAATHI,9402732,09/05/2025,Panama,MWI,SEA JEWEL,47,2025-06-25,False
SANDHYA,9352195,09/05/2025,Panama,MWI,SANDHYA,47,2025-06-25,False
ALMOND,9385142,21/07/2025,Comoros,RUS,ALMOND,47,2025-09-06,False
ASYA ENERGY,9216298,26/09/2024,Palau,BES,EAST ENERGY,49,2024-11-14,False
ANDAMAN SKIES,9288693,17/12/2024,Honduras,TZA,ANDAMAN SKIES,49,2025-02-04,False
Blue,9236353,09/05/2025,Antigua and Barbuda,BEN,BLUE,49,2025-06-27,False
FURIA,9257802,20/05/2025,,SLE,FURIA,49,2025-07-08,False
OCEAN AUTUMN,9379052,17/06/2025,Panama,GMB,NOVA,49,2025-08-05,False
